folder,tr,te,imb,alpha,beta,kproto,K,acc,nll,brier,ece,smooth,t_fit,t_pred,n_train,n_test
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.9_k64,5000,5000,1.0,0.4,0.9,64.0,64.0,0.852653,0.649377,0.266418,0.122629,0.451709,142.09495367,0.48516835,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.0_k128,5000,5000,1.0,0.4,1.0,128.0,128.0,0.853441,0.77638,0.259144,0.11473,0.445811,416.30558726,2.69524871,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.0_k256,5000,5000,1.0,0.4,1.0,256.0,256.0,0.850738,1.192105,0.272283,0.127617,0.462779,54.40888036,0.99026164,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.0_k32,5000,5000,1.0,0.4,1.0,32.0,32.0,0.852315,0.54257,0.270371,0.123992,0.443235,386.93179251,3.08388887,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.0_k64,5000,5000,1.0,0.4,1.0,64.0,64.0,0.852878,0.652996,0.267661,0.123629,0.452371,231.39988416,2.07662759,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.5_k128,5000,5000,1.0,0.4,1.5,128.0,128.0,0.853216,0.789836,0.261657,0.117372,0.448045,70.4419099,0.81549096,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.5_k256,5000,5000,1.0,0.4,1.5,256.0,256.0,0.851188,1.206762,0.274219,0.129746,0.464037,218.56550251,3.8656045,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.5_k32,5000,5000,1.0,0.4,1.5,32.0,32.0,0.851864,0.549776,0.273841,0.126828,0.445276,182.7727402,2.7619653,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b1.5_k64,5000,5000,1.0,0.4,1.5,64.0,64.0,0.852315,0.664289,0.271502,0.127331,0.455083,160.54583552,0.56653351,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b2.0_k128,5000,5000,1.0,0.4,2.0,128.0,128.0,0.852878,0.798988,0.263727,0.12049,0.450366,474.68416499,2.87327233,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b2.0_k256,5000,5000,1.0,0.4,2.0,256.0,256.0,0.851076,1.219325,0.276092,0.130804,0.464727,139.87783635,0.89740603,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b2.0_k32,5000,5000,1.0,0.4,2.0,32.0,32.0,0.851752,0.55419,0.276039,0.128958,0.44584,165.21850069,1.67036746,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b2.0_k64,5000,5000,1.0,0.4,2.0,64.0,64.0,0.851864,0.671228,0.274065,0.12982,0.456692,211.61967119,2.53102608,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.1_k128,5000,5000,1.0,0.5,0.1,128.0,128.0,0.853554,0.661989,0.25082,0.106873,0.4355,67.46723111,0.79439931,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.1_k256,5000,5000,1.0,0.5,0.1,256.0,256.0,0.85209,1.027268,0.264519,0.121854,0.456434,54.64590742,0.80516895,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.1_k32,5000,5000,1.0,0.5,0.1,32.0,32.0,0.853892,0.448334,0.242681,0.087733,0.401379,84.91901589,2.85479892,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.1_k512,5000,5000,1.0,0.5,0.1,512.0,512.0,0.854117,0.576343,0.240023,0.093094,0.414404,68.98860037,1.67611789,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.1_k64,5000,5000,1.0,0.5,0.1,64.0,64.0,0.853667,0.52766,0.243901,0.095235,0.418871,108.08569676,0.42966845,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.2_k128,5000,5000,1.0,0.5,0.2,128.0,128.0,0.853554,0.669358,0.252215,0.107764,0.43711,73.00399014,2.1712212,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.2_k256,5000,5000,1.0,0.5,0.2,256.0,256.0,0.85209,1.030692,0.265257,0.122677,0.45725,63.291604,0.87416733,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.2_k32,5000,5000,1.0,0.5,0.2,32.0,32.0,0.852878,0.469015,0.249554,0.096581,0.413233,89.33967419,0.16762271,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.2_k512,5000,5000,1.0,0.5,0.2,512.0,512.0,0.854005,0.577859,0.240273,0.093103,0.415273,91.35608854,1.54507664,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.2_k64,5000,5000,1.0,0.5,0.2,64.0,64.0,0.853441,0.54649,0.248411,0.100279,0.426863,93.9674527,1.90543689,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.3_k128,5000,5000,1.0,0.5,0.3,128.0,128.0,0.853554,0.675482,0.253373,0.108057,0.438161,82.3563527,2.19692348,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.3_k256,5000,5000,1.0,0.5,0.3,256.0,256.0,0.851864,1.034527,0.26622,0.123346,0.457897,60.2968337,2.46031921,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.3_k32,5000,5000,1.0,0.5,0.3,32.0,32.0,0.852315,0.477961,0.253204,0.101442,0.418886,84.69546091,1.53855578,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.3_k512,5000,5000,1.0,0.5,0.3,512.0,512.0,0.853892,0.57914,0.240562,0.093596,0.415891,69.53178356,1.87800512,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.3_k64,5000,5000,1.0,0.5,0.3,64.0,64.0,0.853216,0.558026,0.251832,0.105703,0.432329,105.12994748,2.05848387,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.4_k128,5000,5000,1.0,0.5,0.4,128.0,128.0,0.853554,0.680885,0.254179,0.109446,0.439099,102.13083758,1.65581245,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.4_k256,5000,5000,1.0,0.5,0.4,256.0,256.0,0.851526,1.037442,0.266828,0.123435,0.458347,79.44283547,2.47775362,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.4_k32,5000,5000,1.0,0.5,0.4,32.0,32.0,0.852315,0.484118,0.256058,0.105093,0.422138,88.65441742,0.17918214,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.4_k512,5000,5000,1.0,0.5,0.4,512.0,512.0,0.853892,0.580585,0.240877,0.094009,0.416519,120.286592,3.43927638,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.5_b0.4_k64,5000,5000,1.0,0.5,0.4,64.0,64.0,0.853441,0.565677,0.254575,0.109514,0.435928,100.22996477,0.48998585,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.01_k128,5000,5000,1.0,0.8,0.01,128.0,128.0,0.853892,0.479747,0.241251,0.093506,0.413855,135.48653527,2.20970149,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.01_k256,5000,5000,1.0,0.8,0.01,256.0,256.0,0.851752,0.679751,0.255202,0.11053,0.440832,100.43680837,2.29946768,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.01_k32,5000,5000,1.0,0.8,0.01,32.0,32.0,0.853216,0.37271,0.226055,0.031411,0.304758,179.0821899,0.22681057,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.01_k512,5000,5000,1.0,0.8,0.01,512.0,512.0,0.854455,0.480835,0.237809,0.08987,0.409542,91.19984203,1.9422484,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.01_k64,5000,5000,1.0,0.8,0.01,64.0,64.0,0.850175,0.406694,0.233079,0.078157,0.381012,108.73782553,0.48594914,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.3_k128,5000,5000,1.0,0.8,0.3,128.0,128.0,0.853892,0.488163,0.243889,0.096072,0.415725,89.75458109,0.77673268,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.3_k256,5000,5000,1.0,0.8,0.3,256.0,256.0,0.851977,0.685244,0.256521,0.112886,0.441844,187.81144725,3.13543465,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.3_k32,5000,5000,1.0,0.8,0.3,32.0,32.0,0.853892,0.395398,0.23695,0.061628,0.350569,180.68923327,1.4294094,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.3_k512,5000,5000,1.0,0.8,0.3,512.0,512.0,0.85423,0.482955,0.238317,0.090292,0.410501,123.27292089,3.84879369,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.3_k64,5000,5000,1.0,0.8,0.3,64.0,64.0,0.854117,0.422944,0.23815,0.083799,0.394618,130.20419143,2.52460154,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.7_k128,5000,5000,1.0,0.8,0.7,128.0,128.0,0.853554,0.493624,0.245119,0.095911,0.416538,98.85776236,3.01798209,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.7_k256,5000,5000,1.0,0.8,0.7,256.0,256.0,0.851414,0.6914,0.258107,0.114112,0.442586,163.3617723,3.74794345,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.7_k32,5000,5000,1.0,0.8,0.7,32.0,32.0,0.852653,0.401247,0.241257,0.068158,0.352704,193.75086584,1.45317242,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.7_k512,5000,5000,1.0,0.8,0.7,512.0,512.0,0.853779,0.486194,0.239331,0.090974,0.411006,89.60569823,4.00038544,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.7_k64,5000,5000,1.0,0.8,0.7,64.0,64.0,0.853216,0.427581,0.241062,0.088149,0.398456,138.94550307,0.53954887,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.9_k128,5000,5000,1.0,0.8,0.9,128.0,128.0,0.853329,0.495344,0.245561,0.095555,0.416424,84.46956123,0.83710837,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.9_k256,5000,5000,1.0,0.8,0.9,256.0,256.0,0.851188,0.694482,0.259184,0.114802,0.442691,173.85341451,2.79775601,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.9_k32,5000,5000,1.0,0.8,0.9,32.0,32.0,0.85209,0.402399,0.242148,0.068977,0.353473,173.68019019,1.47897654,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.9_k512,5000,5000,1.0,0.8,0.9,512.0,512.0,0.853667,0.487842,0.239952,0.091714,0.411213,137.73923384,1.71761521,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.8_b0.9_k64,5000,5000,1.0,0.8,0.9,64.0,64.0,0.852766,0.42942,0.242209,0.089164,0.399004,117.6285224,2.5069968,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.1_k128,5000,5000,8.0,0.1,0.1,128.0,128.0,0.805002,0.999075,0.315137,0.126722,0.292912,51.63802962,2.31329679,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.1_k256,5000,5000,8.0,0.1,0.1,256.0,256.0,0.791258,1.209965,0.349538,0.151501,0.302008,16.73976007,0.85093405,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.1_k32,5000,5000,8.0,0.1,0.1,32.0,32.0,0.785175,0.803544,0.34816,0.136875,0.274521,94.96669043,2.60771644,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.1_k512,5000,5000,8.0,0.1,0.1,512.0,512.0,0.798243,1.988863,0.347,0.150226,0.305653,25.47350147,1.92412229,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.1_k64,5000,5000,8.0,0.1,0.1,64.0,64.0,0.77605,1.024656,0.357616,0.160694,0.275787,84.29102418,2.37045971,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.2_k128,5000,5000,8.0,0.1,0.2,128.0,128.0,0.805678,1.010743,0.316152,0.129655,0.30615,41.59367304,0.50668434,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.2_k256,5000,5000,8.0,0.1,0.2,256.0,256.0,0.790808,1.223431,0.35217,0.151848,0.306896,50.28371043,2.29512867,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.2_k32,5000,5000,8.0,0.1,0.2,32.0,32.0,0.797454,0.84524,0.346602,0.150065,0.323071,75.86029312,0.6107194,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.2_k512,5000,5000,8.0,0.1,0.2,512.0,512.0,0.79599,1.992804,0.348404,0.150369,0.309574,48.6363942,4.43089269,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.2_k64,5000,5000,8.0,0.1,0.2,64.0,64.0,0.784837,1.090849,0.360287,0.15617,0.298476,44.50925606,0.46954787,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.3_k128,5000,5000,8.0,0.1,0.3,128.0,128.0,0.805002,1.026361,0.318914,0.131296,0.314989,44.68050352,0.78224002,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.3_k256,5000,5000,8.0,0.1,0.3,256.0,256.0,0.790132,1.237772,0.354844,0.153123,0.311042,29.21784998,0.84996891,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.3_k32,5000,5000,8.0,0.1,0.3,32.0,32.0,0.800946,0.87262,0.350134,0.158973,0.344639,124.11093757,1.55800296,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.3_k512,5000,5000,8.0,0.1,0.3,512.0,512.0,0.795539,1.997279,0.349316,0.151553,0.312714,120.08527529,4.8854588,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.3_k64,5000,5000,8.0,0.1,0.3,64.0,64.0,0.788329,1.134824,0.361992,0.157521,0.312866,30.27824845,0.77935758,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.4_k128,5000,5000,8.0,0.1,0.4,128.0,128.0,0.805903,1.037084,0.319583,0.132908,0.320943,53.93721098,2.55359617,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.4_k256,5000,5000,8.0,0.1,0.4,256.0,256.0,0.790019,1.250564,0.356804,0.153119,0.314666,47.9149178,0.85001736,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.4_k32,5000,5000,8.0,0.1,0.4,32.0,32.0,0.801622,0.893632,0.35444,0.164584,0.356978,44.65344866,1.78915843,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.4_k512,5000,5000,8.0,0.1,0.4,512.0,512.0,0.796102,2.000882,0.350325,0.15342,0.316159,20.3570748,4.4010088,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.4_k64,5000,5000,8.0,0.1,0.4,64.0,64.0,0.791596,1.16364,0.363346,0.163097,0.323492,43.45169279,1.8951044,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.5_k128,5000,5000,8.0,0.1,0.5,128.0,128.0,0.806016,1.052474,0.322657,0.137753,0.32626,18.22454704,0.63000813,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.5_k256,5000,5000,8.0,0.1,0.5,256.0,256.0,0.790695,1.26516,0.359409,0.153872,0.317721,17.62332504,0.78416357,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.5_k32,5000,5000,8.0,0.1,0.5,32.0,32.0,0.80196,0.910159,0.358212,0.16877,0.364828,67.10549172,2.2772653,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b0.5_k64,5000,5000,8.0,0.1,0.5,64.0,64.0,0.791822,1.185335,0.364947,0.164066,0.331293,96.22205805,2.90293089,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.0_k128,5000,5000,8.0,0.1,1.0,128.0,128.0,0.806579,1.111076,0.331038,0.14958,0.345764,17.95467313,2.14399634,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.0_k256,5000,5000,8.0,0.1,1.0,256.0,256.0,0.79475,1.329574,0.368141,0.16311,0.328473,15.93029325,1.02649437,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.0_k32,5000,5000,8.0,0.1,1.0,32.0,32.0,0.801847,0.95606,0.36987,0.180477,0.380322,43.01462678,0.18262042,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.0_k64,5000,5000,8.0,0.1,1.0,64.0,64.0,0.796102,1.247699,0.371936,0.176189,0.352558,61.00531238,2.89468264,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.5_k128,5000,5000,8.0,0.1,1.5,128.0,128.0,0.806691,1.15787,0.339131,0.159981,0.357716,128.25367005,2.5666864,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.5_k256,5000,5000,8.0,0.1,1.5,256.0,256.0,0.793962,1.379958,0.375103,0.169535,0.336039,72.40514936,3.58304291,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.5_k32,5000,5000,8.0,0.1,1.5,32.0,32.0,0.800721,0.976527,0.375605,0.184712,0.384399,30.03960229,0.15444845,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b1.5_k64,5000,5000,8.0,0.1,1.5,64.0,64.0,0.796778,1.279971,0.377173,0.181142,0.362462,132.82507152,3.37218781,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b2.0_k128,5000,5000,8.0,0.1,2.0,128.0,128.0,0.806691,1.194334,0.345796,0.166384,0.365744,108.47533644,2.67779262,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b2.0_k256,5000,5000,8.0,0.1,2.0,256.0,256.0,0.79261,1.420447,0.381139,0.175926,0.341874,67.26581784,2.60282883,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b2.0_k32,5000,5000,8.0,0.1,2.0,32.0,32.0,0.799932,0.988919,0.37942,0.187237,0.385983,63.01560519,1.71796563,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.1_b2.0_k64,5000,5000,8.0,0.1,2.0,64.0,64.0,0.798017,1.302225,0.381485,0.185141,0.368508,58.79481424,1.68332909,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.1_k128,5000,5000,8.0,0.2,0.1,128.0,128.0,0.804889,0.893602,0.315458,0.125757,0.289952,59.01635354,0.69889378,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.1_k256,5000,5000,8.0,0.2,0.1,256.0,256.0,0.791258,1.063312,0.349596,0.151879,0.300885,40.33294688,3.34752712,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.1_k32,5000,5000,8.0,0.2,0.1,32.0,32.0,0.785288,0.706757,0.342719,0.130353,0.266098,49.83092442,0.16945551,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.1_k512,5000,5000,8.0,0.2,0.1,512.0,512.0,0.797679,1.809031,0.347043,0.149131,0.305402,20.77858786,1.68786728,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.1_k64,5000,5000,8.0,0.2,0.1,64.0,64.0,0.77605,0.905283,0.355308,0.156871,0.271636,40.86806235,0.67081021,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.2_k128,5000,5000,8.0,0.2,0.2,128.0,128.0,0.805114,0.903739,0.316745,0.128971,0.302827,91.83196237,2.58663961,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.2_k256,5000,5000,8.0,0.2,0.2,256.0,256.0,0.790695,1.075849,0.352185,0.151874,0.305335,45.49744501,1.51737038,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.2_k32,5000,5000,8.0,0.2,0.2,32.0,32.0,0.797792,0.724176,0.338966,0.142326,0.312316,75.78855253,2.56969848,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.2_k512,5000,5000,8.0,0.2,0.2,512.0,512.0,0.796102,1.811482,0.34811,0.14981,0.308795,64.92849376,5.1043249,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.2_k64,5000,5000,8.0,0.2,0.2,64.0,64.0,0.78495,0.951637,0.357765,0.15351,0.293332,56.07323371,2.31128656,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.3_k128,5000,5000,8.0,0.2,0.3,128.0,128.0,0.804889,0.912698,0.317768,0.129217,0.310629,31.2770312,0.53814261,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.3_k256,5000,5000,8.0,0.2,0.3,256.0,256.0,0.790582,1.087889,0.354739,0.153642,0.30925,56.92000509,3.18253854,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.3_k32,5000,5000,8.0,0.2,0.3,32.0,32.0,0.800946,0.738081,0.341118,0.149707,0.332484,35.76089852,0.18584036,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.3_k512,5000,5000,8.0,0.2,0.3,512.0,512.0,0.795652,1.815885,0.349287,0.151201,0.311997,20.36509521,1.78526418,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.3_k64,5000,5000,8.0,0.2,0.3,64.0,64.0,0.788217,0.978142,0.358912,0.154057,0.30646,77.39284112,1.92736177,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.4_k128,5000,5000,8.0,0.2,0.4,128.0,128.0,0.80534,0.925193,0.320168,0.131481,0.316573,31.04781984,2.85893078,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.4_k256,5000,5000,8.0,0.2,0.4,256.0,256.0,0.790019,1.09978,0.356774,0.153282,0.312685,16.42868903,0.84162379,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.4_k32,5000,5000,8.0,0.2,0.4,32.0,32.0,0.80196,0.750137,0.344561,0.155555,0.343731,97.7868177,2.01472648,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.4_k512,5000,5000,8.0,0.2,0.4,512.0,512.0,0.794976,1.820854,0.350967,0.151963,0.314481,69.61545022,3.91953794,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.4_k64,5000,5000,8.0,0.2,0.4,64.0,64.0,0.790808,0.996396,0.360289,0.158635,0.316216,62.68817834,2.19633657,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.5_k128,5000,5000,8.0,0.2,0.5,128.0,128.0,0.806579,0.933983,0.321353,0.135467,0.321533,19.24519262,0.81714791,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.5_k256,5000,5000,8.0,0.2,0.5,256.0,256.0,0.790244,1.111323,0.359295,0.153892,0.315519,75.27113651,3.77947026,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.5_k32,5000,5000,8.0,0.2,0.5,32.0,32.0,0.802411,0.759778,0.347687,0.160078,0.350844,46.74297903,0.15527984,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b0.5_k64,5000,5000,8.0,0.2,0.5,64.0,64.0,0.791709,1.010053,0.361772,0.160836,0.323516,22.59096301,0.53927634,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b1.0_k128,5000,5000,8.0,0.2,1.0,128.0,128.0,0.806804,0.975763,0.328898,0.146465,0.33913,25.70070394,2.21222758,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b1.0_k256,5000,5000,8.0,0.2,1.0,256.0,256.0,0.794413,1.161854,0.367062,0.161586,0.325566,206.05270463,4.72489528,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b1.0_k32,5000,5000,8.0,0.2,1.0,32.0,32.0,0.802523,0.787522,0.357647,0.171809,0.364753,28.45925198,1.98037004,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b1.0_k64,5000,5000,8.0,0.2,1.0,64.0,64.0,0.795539,1.048826,0.367662,0.171212,0.342976,23.65683597,0.52716698,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b1.5_k32,5000,5000,8.0,0.2,1.5,32.0,32.0,0.801172,0.800318,0.362739,0.175577,0.368275,120.85223612,2.3258217,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.2_b1.5_k64,5000,5000,8.0,0.2,1.5,64.0,64.0,0.796553,1.069802,0.372252,0.176448,0.351927,64.16867599,2.03761656,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.4_b0.01_k128,5000,5000,8.0,0.4,0.01,128.0,128.0,0.80151,0.766723,0.316136,0.119383,0.260403,53.79309854,2.91703311,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.4_b0.01_k256,5000,5000,8.0,0.4,0.01,256.0,256.0,0.79216,0.885401,0.34747,0.147654,0.293071,60.68725176,3.29848301,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.4_b0.01_k32,5000,5000,8.0,0.4,0.01,32.0,32.0,0.568773,0.741216,0.488544,0.28873,0.049241,42.26577402,0.15330033,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.4_b0.01_k512,5000,5000,8.0,0.4,0.01,512.0,512.0,0.796778,1.537277,0.346846,0.144393,0.297707,25.84770683,1.95014494,5070.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb8_a0.4_b0.01_k64,5000,5000,8.0,0.4,0.01,64.0,64.0,0.776614,0.724309,0.344816,0.13509,0.220228,50.96883005,1.93593307,5070.0,8877.0
